"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"sephs2";"1";"NULL";"selenophosphate synthetase 2 [Source:ZFIN;Acc:ZDB-GENE-030327-5]";"3808";"12984";"-1";"protein_coding";"ENSLOCG00000014256"
"ssr4";"1";"NULL";"signal sequence receptor, delta [Source:ZFIN;Acc:ZDB-GENE-030131-4900]";"15575";"19633";"-1";"protein_coding";"ENSLOCG00000014259"
"ikbkg";"1";"NULL";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:ZFIN;Acc:ZDB-GENE-050327-68]";"23250";"35415";"-1";"protein_coding";"ENSLOCG00000014262"
"g6pd";"1";"NULL";"glucose-6-phosphate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070508-4]";"37686";"57745";"1";"protein_coding";"ENSLOCG00000014269"
"zgc:158263";"1";"NULL";"zgc:158263 [Source:ZFIN;Acc:ZDB-GENE-070112-2262]";"61822";"71822";"-1";"protein_coding";"ENSLOCG00000014277"
"ENSLOCG00000014288";"1";"NULL";"NULL";"74628";"99198";"-1";"protein_coding";"ENSLOCG00000014288"
"lrrc23";"1";"NULL";"leucine rich repeat containing 23 [Source:ZFIN;Acc:ZDB-GENE-041010-153]";"123703";"128418";"-1";"protein_coding";"ENSLOCG00000014290"
"usp21";"1";"NULL";"ubiquitin specific peptidase 21 [Source:ZFIN;Acc:ZDB-GENE-100210-3]";"130582";"137692";"1";"protein_coding";"ENSLOCG00000014293"
"ENSLOCG00000014296";"1";"NULL";"NULL";"141623";"146532";"1";"protein_coding";"ENSLOCG00000014296"
"ndufb11";"1";"NULL";"NADH:ubiquinone oxidoreductase subunit B11 [Source:ZFIN;Acc:ZDB-GENE-050309-25]";"148352";"150676";"1";"protein_coding";"ENSLOCG00000014298"
"rhoab (1 of many)";"1";"NULL";"ras homolog gene family, member Ab [Source:ZFIN;Acc:ZDB-GENE-040322-2]";"159437";"162073";"1";"protein_coding";"ENSLOCG00000014301"
"rbm10";"1";"NULL";"RNA binding motif protein 10 [Source:ZFIN;Acc:ZDB-GENE-100922-245]";"168092";"187968";"1";"protein_coding";"ENSLOCG00000014304"
