"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"OR4F5";"1";"OR4F5";"olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]";"65419";"71585";"1";"protein_coding";"ENSG00000186092"
"OR4F29";"1";"OR4F29";"olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]";"450703";"451697";"-1";"protein_coding";"ENSG00000284733"
"OR4F16";"1";"OR4F16";"olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]";"685679";"686673";"-1";"protein_coding";"ENSG00000284662"
"SAMD11";"1";"SAMD11";"sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]";"923928";"944581";"1";"protein_coding";"ENSG00000187634"
"NOC2L";"1";"NOC2L";"NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]";"944203";"959309";"-1";"protein_coding";"ENSG00000188976"
"KLHL17";"1";"KLHL17";"kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]";"960584";"965719";"1";"protein_coding";"ENSG00000187961"
"PLEKHN1";"1";"PLEKHN1";"pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]";"966482";"975865";"1";"protein_coding";"ENSG00000187583"
"PERM1";"1";"PERM1";"PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]";"975204";"982093";"-1";"protein_coding";"ENSG00000187642"
"HES4";"1";"HES4";"hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]";"998962";"1000172";"-1";"protein_coding";"ENSG00000188290"
"ISG15";"1";"ISG15";"ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]";"1001138";"1014540";"1";"protein_coding";"ENSG00000187608"
"AGRN";"1";"AGRN";"agrin [Source:HGNC Symbol;Acc:HGNC:329]";"1020120";"1056118";"1";"protein_coding";"ENSG00000188157"
"RNF223";"1";"RNF223";"ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]";"1070967";"1074306";"-1";"protein_coding";"ENSG00000237330"
"C1orf159";"1";"C1orf159";"chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]";"1081818";"1116361";"-1";"protein_coding";"ENSG00000131591"
"TTLL10";"1";"TTLL10";"tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]";"1173884";"1197935";"1";"protein_coding";"ENSG00000162571"
"TNFRSF18";"1";"TNFRSF18";"TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]";"1203508";"1206592";"-1";"protein_coding";"ENSG00000186891"
"TNFRSF4";"1";"TNFRSF4";"TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]";"1211340";"1214153";"-1";"protein_coding";"ENSG00000186827"
"SDF4";"1";"SDF4";"stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]";"1216908";"1232067";"-1";"protein_coding";"ENSG00000078808"
"B3GALT6";"1";"B3GALT6";"beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]";"1232237";"1235041";"1";"protein_coding";"ENSG00000176022"
"C1QTNF12";"1";"C1QTNF12";"C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308]";"1242446";"1246722";"-1";"protein_coding";"ENSG00000184163"
"UBE2J2";"1";"UBE2J2";"ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]";"1253909";"1273885";"-1";"protein_coding";"ENSG00000160087"
"SCNN1D";"1";"SCNN1D";"sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601]";"1280436";"1292029";"1";"protein_coding";"ENSG00000162572"
"ACAP3";"1";"ACAP3";"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]";"1292390";"1309609";"-1";"protein_coding";"ENSG00000131584"
"PUSL1";"1";"PUSL1";"pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]";"1308597";"1311677";"1";"protein_coding";"ENSG00000169972"
"INTS11";"1";"INTS11";"integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]";"1311585";"1324691";"-1";"protein_coding";"ENSG00000127054"
"CPTP";"1";"CPTP";"ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]";"1324756";"1328896";"1";"protein_coding";"ENSG00000224051"
"TAS1R3";"1";"TAS1R3";"taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]";"1331280";"1335314";"1";"protein_coding";"ENSG00000169962"
"DVL1";"1";"DVL1";"dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]";"1335276";"1349418";"-1";"protein_coding";"ENSG00000107404"
"MXRA8";"1";"MXRA8";"matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]";"1352689";"1361777";"-1";"protein_coding";"ENSG00000162576"
"AURKAIP1";"1";"AURKAIP1";"aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]";"1373730";"1375495";"-1";"protein_coding";"ENSG00000175756"
"CCNL2";"1";"CCNL2";"cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]";"1385711";"1399335";"-1";"protein_coding";"ENSG00000221978"
"MRPL20";"1";"MRPL20";"mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]";"1401909";"1407293";"-1";"protein_coding";"ENSG00000242485"
"ANKRD65";"1";"ANKRD65";"ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]";"1418420";"1421769";"-1";"protein_coding";"ENSG00000235098"
