"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"rpl24";"1";"rpl24";"ribosomal protein L24 [Source:ZFIN;Acc:ZDB-GENE-020419-25]";"6408";"12027";"-1";"protein_coding";"ENSDARG00000099104"
"cep97";"1";"cep97";"centrosomal protein 97 [Source:ZFIN;Acc:ZDB-GENE-031030-11]";"11822";"16373";"1";"protein_coding";"ENSDARG00000102407"
"nfkbiz";"1";"ZFOS-1597F10.3";"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta [Source:ZFIN;Acc:ZDB-GENE-071024-1]";"18716";"23389";"1";"protein_coding";"ENSDARG00000102097"
"CU651657.1";"1";"NULL";"NULL";"25585";"27255";"1";"protein_coding";"ENSDARG00000099319"
"eed";"1";"eed";"embryonic ectoderm development [Source:ZFIN;Acc:ZDB-GENE-050417-287]";"27690";"34330";"1";"protein_coding";"ENSDARG00000099640"
"hikeshi";"1";"ZFOS-1597F10.5";"heat shock protein nuclear import factor hikeshi [Source:ZFIN;Acc:ZDB-GENE-050417-34]";"36552";"39191";"1";"protein_coding";"ENSDARG00000104071"
"tmem39a";"1";"ZFOS-1597F10.6";"transmembrane protein 39A [Source:ZFIN;Acc:ZDB-GENE-030131-1928]";"39313";"44565";"-1";"protein_coding";"ENSDARG00000102746"
"ildr1a";"1";"ZFOS-1011F11.3";"immunoglobulin-like domain containing receptor 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1412]";"44839";"50247";"-1";"protein_coding";"ENSDARG00000103929"
"si:zfos-1011f11.2";"1";"ZFOS-1011F11.2";"si:zfos-1011f11.2 [Source:ZFIN;Acc:ZDB-GENE-121214-271]";"60979";"65017";"-1";"protein_coding";"ENSDARG00000101073"
"gpa33a";"1";"ZFOS-1011F11.1";"glycoprotein A33 (transmembrane), paralog a [Source:ZFIN;Acc:ZDB-GENE-080229-4]";"65705";"71523";"-1";"protein_coding";"ENSDARG00000100223"
"f7l";"1";"ZFOS-1962A1.1";"coagulation factor VII, like [Source:ZFIN;Acc:ZDB-GENE-070424-102]";"109798";"119146";"1";"protein_coding";"ENSDARG00000100782"
"f7";"1";"f7";"coagulation factor VII [Source:ZFIN;Acc:ZDB-GENE-010814-1]";"119960";"125246";"1";"protein_coding";"ENSDARG00000034862"
"f7i";"1";"f7i";"coagulation factor VIIi [Source:ZFIN;Acc:ZDB-GENE-021206-10]";"127250";"134079";"1";"protein_coding";"ENSDARG00000075827"
"f10";"1";"f10";"coagulation factor X [Source:ZFIN;Acc:ZDB-GENE-021206-9]";"135903";"142469";"1";"protein_coding";"ENSDARG00000088581"
"prozb";"1";"prozb";"protein Z, vitamin K-dependent plasma glycoprotein b [Source:ZFIN;Acc:ZDB-GENE-120816-1]";"144284";"151998";"1";"protein_coding";"ENSDARG00000076900"
"pcid2";"1";"pcid2";"PCI domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-041114-79]";"152007";"157563";"-1";"protein_coding";"ENSDARG00000013802"
"cul4a";"1";"cul4a";"cullin 4A [Source:ZFIN;Acc:ZDB-GENE-040426-1357]";"157793";"167398";"1";"protein_coding";"ENSDARG00000096578"
"FO681286.1";"1";"NULL";"NULL";"160302";"201004";"-1";"protein_coding";"ENSDARG00000109848"
"lamp1a";"1";"NULL";"lysosomal associated membrane protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3708]";"176583";"182258";"1";"protein_coding";"ENSDARG00000100181"
"grtp1a";"1";"NULL";"growth hormone regulated TBC protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2733]";"184915";"192033";"-1";"protein_coding";"ENSDARG00000029936"
"adprhl1";"1";"NULL";"ADP-ribosylhydrolase like 1 [Source:ZFIN;Acc:ZDB-GENE-041010-126]";"200294";"206208";"-1";"protein_coding";"ENSDARG00000041589"
"dcun1d2b";"1";"NULL";"DCN1, defective in cullin neddylation 1, domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-040625-171]";"208181";"214911";"-1";"protein_coding";"ENSDARG00000041592"
"tmco3";"1";"NULL";"transmembrane and coiled-coil domains 3 [Source:ZFIN;Acc:ZDB-GENE-071030-1]";"218524";"225137";"1";"protein_coding";"ENSDARG00000075108"
"tfdp1b";"1";"NULL";"transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]";"227241";"243798";"1";"protein_coding";"ENSDARG00000016304"
